id,name,value
1,row 1,3
2,row 2,6
3,row 3,9
4,row 4,12
5,row 5,15
6,row 6,18
7,row 7,21
8,row 8,24
9,row 9,27
10,row 10,30
11,row 11,33
12,row 12,36
13,row 13,39
14,row 14,42
15,row 15,45
16,row 16,48
17,row 17,51
18,row 18,54
19,row 19,57
20,row 20,60
21,row 21,63
22,row 22,66
23,row 23,69
24,row 24,72
25,row 25,75
26,row 26,78
27,row 27,81
28,row 28,84
29,row 29,87
30,row 30,90
31,row 31,93
32,row 32,96
33,row 33,99
34,row 34,102
35,row 35,105
36,row 36,108
37,row 37,111
38,row 38,114
39,row 39,117
40,row 40,120
41,row 41,123
42,row 42,126
43,row 43,129
44,row 44,132
45,row 45,135
46,row 46,138
47,row 47,141
48,row 48,144
49,row 49,147
50,row 50,150
51,row 51,153
52,row 52,156
53,row 53,159
54,row 54,162
55,row 55,165
56,row 56,168
57,row 57,171
58,row 58,174
59,row 59,177
60,row 60,180
61,row 61,183
62,row 62,186
63,row 63,189
64,row 64,192
65,row 65,195
66,row 66,198
67,row 67,201
68,row 68,204
69,row 69,207
70,row 70,210
71,row 71,213
72,row 72,216
73,row 73,219
74,row 74,222
75,row 75,225
76,row 76,228
77,row 77,231
78,row 78,234
79,row 79,237
80,row 80,240
81,row 81,243
82,row 82,246
83,row 83,249
84,row 84,252
85,row 85,255
86,row 86,258
87,row 87,261
88,row 88,264
89,row 89,267
90,row 90,270
91,row 91,273
92,row 92,276
93,row 93,279
94,row 94,282
95,row 95,285
96,row 96,288
97,row 97,291
98,row 98,294
99,row 99,297
100,row 100,300
101,row 101,303
102,row 102,306
103,row 103,309
104,row 104,312
105,row 105,315
106,row 106,318
107,row 107,321
108,row 108,324
109,row 109,327
110,row 110,330
111,row 111,333
112,row 112,336
113,row 113,339
114,row 114,342
115,row 115,345
116,row 116,348
117,row 117,351
118,row 118,354
119,row 119,357
120,row 120,360
121,row 121,363
122,row 122,366
123,row 123,369
124,row 124,372
125,row 125,375
126,row 126,378
127,row 127,381
128,row 128,384
129,row 129,387
130,row 130,390
131,row 131,393
132,row 132,396
133,row 133,399
134,row 134,402
135,row 135,405
136,row 136,408
137,row 137,411
138,row 138,414
139,row 139,417
140,row 140,420
141,row 141,423
142,row 142,426
143,row 143,429
144,row 144,432
145,row 145,435
146,row 146,438
147,row 147,441
148,row 148,444
149,row 149,447
150,row 150,450
151,row 151,453
152,row 152,456
153,row 153,459
154,row 154,462
155,row 155,465
156,row 156,468
157,row 157,471
158,row 158,474
159,row 159,477
160,row 160,480
161,row 161,483
162,row 162,486
163,row 163,489
164,row 164,492
165,row 165,495
166,row 166,498
167,row 167,501
168,row 168,504
169,row 169,507
170,row 170,510
171,row 171,513
172,row 172,516
173,row 173,519
174,row 174,522
175,row 175,525
176,row 176,528
177,row 177,531
178,row 178,534
179,row 179,537
180,row 180,540
181,row 181,543
182,row 182,546
183,row 183,549
184,row 184,552
185,row 185,555
186,row 186,558
187,row 187,561
188,row 188,564
189,row 189,567
190,row 190,570
191,row 191,573
192,row 192,576
193,row 193,579
194,row 194,582
195,row 195,585
196,row 196,588
197,row 197,591
198,row 198,594
199,row 199,597
200,row 200,600
201,row 201,603
202,row 202,606
203,row 203,609
204,row 204,612
205,row 205,615
206,row 206,618
207,row 207,621
208,row 208,624
209,row 209,627
210,row 210,630
211,row 211,633
212,row 212,636
213,row 213,639
214,row 214,642
215,row 215,645
216,row 216,648
217,row 217,651
218,row 218,654
219,row 219,657
220,row 220,660
221,row 221,663
222,row 222,666
223,row 223,669
224,row 224,672
225,row 225,675
226,row 226,678
227,row 227,681
228,row 228,684
229,row 229,687
230,row 230,690
231,row 231,693
232,row 232,696
233,row 233,699
234,row 234,702
235,row 235,705
236,row 236,708
237,row 237,711
238,row 238,714
239,row 239,717
240,row 240,720
241,row 241,723
242,row 242,726
243,row 243,729
244,row 244,732
245,row 245,735
246,row 246,738
247,row 247,741
248,row 248,744
249,row 249,747
250,row 250,750
251,row 251,753
252,row 252,756
253,row 253,759
254,row 254,762
255,row 255,765
256,row 256,768
257,row 257,771
258,row 258,774
259,row 259,777
260,row 260,780
261,row 261,783
262,row 262,786
263,row 263,789
264,row 264,792
265,row 265,795
266,row 266,798
267,row 267,801
268,row 268,804
269,row 269,807
270,row 270,810
271,row 271,813
272,row 272,816
273,row 273,819
274,row 274,822
275,row 275,825
276,row 276,828
277,row 277,831
278,row 278,834
279,row 279,837
280,row 280,840
281,row 281,843
282,row 282,846
283,row 283,849
284,row 284,852
285,row 285,855
286,row 286,858
287,row 287,861
288,row 288,864
289,row 289,867
290,row 290,870
291,row 291,873
292,row 292,876
293,row 293,879
294,row 294,882
295,row 295,885
296,row 296,888
297,row 297,891
298,row 298,894
299,row 299,897
300,row 300,900
301,row 301,903
302,row 302,906
303,row 303,909
304,row 304,912
305,row 305,915
306,row 306,918
307,row 307,921
308,row 308,924
309,row 309,927
310,row 310,930
311,row 311,933
312,row 312,936
313,row 313,939
314,row 314,942
315,row 315,945
316,row 316,948
317,row 317,951
318,row 318,954
319,row 319,957
320,row 320,960
321,row 321,963
322,row 322,966
323,row 323,969
324,row 324,972
325,row 325,975
326,row 326,978
327,row 327,981
328,row 328,984
329,row 329,987
330,row 330,990
331,row 331,993
332,row 332,996
333,row 333,999
334,row 334,1002
335,row 335,1005
336,row 336,1008
337,row 337,1011
338,row 338,1014
339,row 339,1017
340,row 340,1020
341,row 341,1023
342,row 342,1026
343,row 343,1029
344,row 344,1032
345,row 345,1035
346,row 346,1038
347,row 347,1041
348,row 348,1044
349,row 349,1047
350,row 350,1050
351,row 351,1053
352,row 352,1056
353,row 353,1059
354,row 354,1062
355,row 355,1065
356,row 356,1068
357,row 357,1071
358,row 358,1074
359,row 359,1077
360,row 360,1080
361,row 361,1083
362,row 362,1086
363,row 363,1089
364,row 364,1092
365,row 365,1095
366,row 366,1098
367,row 367,1101
368,row 368,1104
369,row 369,1107
370,row 370,1110
371,row 371,1113
372,row 372,1116
373,row 373,1119
374,row 374,1122
375,row 375,1125
376,row 376,1128
377,row 377,1131
378,row 378,1134
379,row 379,1137
380,row 380,1140
381,row 381,1143
382,row 382,1146
383,row 383,1149
384,row 384,1152
385,row 385,1155
386,row 386,1158
387,row 387,1161
388,row 388,1164
389,row 389,1167
390,row 390,1170
391,row 391,1173
392,row 392,1176
393,row 393,1179
394,row 394,1182
395,row 395,1185
396,row 396,1188
397,row 397,1191
398,row 398,1194
399,row 399,1197
400,row 400,1200
401,row 401,1203
402,row 402,1206
403,row 403,1209
404,row 404,1212
405,row 405,1215
406,row 406,1218
407,row 407,1221
408,row 408,1224
409,row 409,1227
410,row 410,1230
411,row 411,1233
412,row 412,1236
413,row 413,1239
414,row 414,1242
415,row 415,1245
416,row 416,1248
417,row 417,1251
418,row 418,1254
419,row 419,1257
420,row 420,1260
421,row 421,1263
422,row 422,1266
423,row 423,1269
424,row 424,1272
425,row 425,1275
426,row 426,1278
427,row 427,1281
428,row 428,1284
429,row 429,1287
430,row 430,1290
431,row 431,1293
432,row 432,1296
433,row 433,1299
434,row 434,1302
435,row 435,1305
436,row 436,1308
437,row 437,1311
438,row 438,1314
439,row 439,1317
440,row 440,1320
441,row 441,1323
442,row 442,1326
443,row 443,1329
444,row 444,1332
445,row 445,1335
446,row 446,1338
447,row 447,1341
448,row 448,1344
449,row 449,1347
450,row 450,1350
451,row 451,1353
452,row 452,1356
453,row 453,1359
454,row 454,1362
455,row 455,1365
456,row 456,1368
457,row 457,1371
458,row 458,1374
459,row 459,1377
460,row 460,1380
461,row 461,1383
462,row 462,1386
463,row 463,1389
464,row 464,1392
465,row 465,1395
466,row 466,1398
467,row 467,1401
468,row 468,1404
469,row 469,1407
470,row 470,1410
471,row 471,1413
472,row 472,1416
473,row 473,1419
474,row 474,1422
475,row 475,1425
476,row 476,1428
477,row 477,1431
478,row 478,1434
479,row 479,1437
480,row 480,1440
481,row 481,1443
482,row 482,1446
483,row 483,1449
484,row 484,1452
485,row 485,1455
486,row 486,1458
487,row 487,1461
488,row 488,1464
489,row 489,1467
490,row 490,1470
491,row 491,1473
492,row 492,1476
493,row 493,1479
494,row 494,1482
495,row 495,1485
496,row 496,1488
497,row 497,1491
498,row 498,1494
499,row 499,1497
500,row 500,1500
501,row 501,1503
502,row 502,1506
503,row 503,1509
504,row 504,1512
505,row 505,1515
506,row 506,1518
507,row 507,1521
508,row 508,1524
509,row 509,1527
510,row 510,1530
511,row 511,1533
512,row 512,1536
513,row 513,1539
514,row 514,1542
515,row 515,1545
516,row 516,1548
517,row 517,1551
518,row 518,1554
519,row 519,1557
520,row 520,1560
521,row 521,1563
522,row 522,1566
523,row 523,1569
524,row 524,1572
525,row 525,1575
526,row 526,1578
527,row 527,1581
528,row 528,1584
529,row 529,1587
530,row 530,1590
531,row 531,1593
532,row 532,1596
533,row 533,1599
534,row 534,1602
535,row 535,1605
536,row 536,1608
537,row 537,1611
538,row 538,1614
539,row 539,1617
540,row 540,1620
541,row 541,1623
542,row 542,1626
543,row 543,1629
544,row 544,1632
545,row 545,1635
546,row 546,1638
547,row 547,1641
548,row 548,1644
549,row 549,1647
550,row 550,1650
551,row 551,1653
552,row 552,1656
553,row 553,1659
554,row 554,1662
555,row 555,1665
556,row 556,1668
557,row 557,1671
558,row 558,1674
559,row 559,1677
560,row 560,1680
561,row 561,1683
562,row 562,1686
563,row 563,1689
564,row 564,1692
565,row 565,1695
566,row 566,1698
567,row 567,1701
568,row 568,1704
569,row 569,1707
570,row 570,1710
571,row 571,1713
572,row 572,1716
573,row 573,1719
574,row 574,1722
575,row 575,1725
576,row 576,1728
577,row 577,1731
578,row 578,1734
579,row 579,1737
580,row 580,1740
581,row 581,1743
582,row 582,1746
583,row 583,1749
584,row 584,1752
585,row 585,1755
586,row 586,1758
587,row 587,1761
588,row 588,1764
589,row 589,1767
590,row 590,1770
591,row 591,1773
592,row 592,1776
593,row 593,1779
594,row 594,1782
595,row 595,1785
596,row 596,1788
597,row 597,1791
598,row 598,1794
599,row 599,1797
600,row 600,1800
601,row 601,1803
602,row 602,1806
603,row 603,1809
604,row 604,1812
605,row 605,1815
606,row 606,1818
607,row 607,1821
608,row 608,1824
609,row 609,1827
610,row 610,1830
611,row 611,1833
612,row 612,1836
613,row 613,1839
614,row 614,1842
615,row 615,1845
616,row 616,1848
617,row 617,1851
618,row 618,1854
619,row 619,1857
620,row 620,1860
621,row 621,1863
622,row 622,1866
623,row 623,1869
624,row 624,1872
625,row 625,1875
626,row 626,1878
627,row 627,1881
628,row 628,1884
629,row 629,1887
630,row 630,1890
631,row 631,1893
632,row 632,1896
633,row 633,1899
634,row 634,1902
635,row 635,1905
636,row 636,1908
637,row 637,1911
638,row 638,1914
639,row 639,1917
640,row 640,1920
641,row 641,1923
642,row 642,1926
643,row 643,1929
644,row 644,1932
645,row 645,1935
646,row 646,1938
647,row 647,1941
648,row 648,1944
649,row 649,1947
650,row 650,1950
651,row 651,1953
652,row 652,1956
653,row 653,1959
654,row 654,1962
655,row 655,1965
656,row 656,1968
657,row 657,1971
658,row 658,1974
659,row 659,1977
660,row 660,1980
661,row 661,1983
662,row 662,1986
663,row 663,1989
664,row 664,1992
665,row 665,1995
666,row 666,1998
667,row 667,2001
668,row 668,2004
669,row 669,2007
670,row 670,2010
671,row 671,2013
672,row 672,2016
673,row 673,2019
674,row 674,2022
675,row 675,2025
676,row 676,2028
677,row 677,2031
678,row 678,2034
679,row 679,2037
680,row 680,2040
681,row 681,2043
682,row 682,2046
683,row 683,2049
684,row 684,2052
685,row 685,2055
686,row 686,2058
687,row 687,2061
688,row 688,2064
689,row 689,2067
690,row 690,2070
691,row 691,2073
692,row 692,2076
693,row 693,2079
694,row 694,2082
695,row 695,2085
696,row 696,2088
697,row 697,2091
698,row 698,2094
699,row 699,2097
700,row 700,2100
701,row 701,2103
702,row 702,2106
703,row 703,2109
704,row 704,2112
705,row 705,2115
706,row 706,2118
707,row 707,2121
708,row 708,2124
709,row 709,2127
710,row 710,2130
711,row 711,2133
712,row 712,2136
713,row 713,2139
714,row 714,2142
715,row 715,2145
716,row 716,2148
717,row 717,2151
718,row 718,2154
719,row 719,2157
720,row 720,2160
721,row 721,2163
722,row 722,2166
723,row 723,2169
724,row 724,2172
725,row 725,2175
726,row 726,2178
727,row 727,2181
728,row 728,2184
729,row 729,2187
730,row 730,2190
731,row 731,2193
732,row 732,2196
733,row 733,2199
734,row 734,2202
735,row 735,2205
736,row 736,2208
737,row 737,2211
738,row 738,2214
739,row 739,2217
740,row 740,2220
741,row 741,2223
742,row 742,2226
743,row 743,2229
744,row 744,2232
745,row 745,2235
746,row 746,2238
747,row 747,2241
748,row 748,2244
749,row 749,2247
750,row 750,2250
751,row 751,2253
752,row 752,2256
753,row 753,2259
754,row 754,2262
755,row 755,2265
756,row 756,2268
757,row 757,2271
758,row 758,2274
759,row 759,2277
760,row 760,2280
761,row 761,2283
762,row 762,2286
763,row 763,2289
764,row 764,2292
765,row 765,2295
766,row 766,2298
767,row 767,2301
768,row 768,2304
769,row 769,2307
770,row 770,2310
771,row 771,2313
772,row 772,2316
773,row 773,2319
774,row 774,2322
775,row 775,2325
776,row 776,2328
777,row 777,2331
778,row 778,2334
779,row 779,2337
780,row 780,2340
781,row 781,2343
782,row 782,2346
783,row 783,2349
784,row 784,2352
785,row 785,2355
786,row 786,2358
787,row 787,2361
788,row 788,2364
789,row 789,2367
790,row 790,2370
791,row 791,2373
792,row 792,2376
793,row 793,2379
794,row 794,2382
795,row 795,2385
796,row 796,2388
797,row 797,2391
798,row 798,2394
799,row 799,2397
800,row 800,2400
801,row 801,2403
802,row 802,2406
803,row 803,2409
804,row 804,2412
805,row 805,2415
806,row 806,2418
807,row 807,2421
808,row 808,2424
809,row 809,2427
810,row 810,2430
811,row 811,2433
812,row 812,2436
813,row 813,2439
814,row 814,2442
815,row 815,2445
816,row 816,2448
817,row 817,2451
818,row 818,2454
819,row 819,2457
820,row 820,2460
821,row 821,2463
822,row 822,2466
823,row 823,2469
824,row 824,2472
825,row 825,2475
826,row 826,2478
827,row 827,2481
828,row 828,2484
829,row 829,2487
830,row 830,2490
831,row 831,2493
832,row 832,2496
833,row 833,2499
834,row 834,2502
835,row 835,2505
836,row 836,2508
837,row 837,2511
838,row 838,2514
839,row 839,2517
840,row 840,2520
841,row 841,2523
842,row 842,2526
843,row 843,2529
844,row 844,2532
845,row 845,2535
846,row 846,2538
847,row 847,2541
848,row 848,2544
849,row 849,2547
850,row 850,2550
851,row 851,2553
852,row 852,2556
853,row 853,2559
854,row 854,2562
855,row 855,2565
856,row 856,2568
857,row 857,2571
858,row 858,2574
859,row 859,2577
860,row 860,2580
861,row 861,2583
862,row 862,2586
863,row 863,2589
864,row 864,2592
865,row 865,2595
866,row 866,2598
867,row 867,2601
868,row 868,2604
869,row 869,2607
870,row 870,2610
871,row 871,2613
872,row 872,2616
873,row 873,2619
874,row 874,2622
875,row 875,2625
876,row 876,2628
877,row 877,2631
878,row 878,2634
879,row 879,2637
880,row 880,2640
881,row 881,2643
882,row 882,2646
883,row 883,2649
884,row 884,2652
885,row 885,2655
886,row 886,2658
887,row 887,2661
888,row 888,2664
889,row 889,2667
890,row 890,2670
891,row 891,2673
892,row 892,2676
893,row 893,2679
894,row 894,2682
895,row 895,2685
896,row 896,2688
897,row 897,2691
898,row 898,2694
899,row 899,2697
900,row 900,2700
901,row 901,2703
902,row 902,2706
903,row 903,2709
904,row 904,2712
905,row 905,2715
906,row 906,2718
907,row 907,2721
908,row 908,2724
909,row 909,2727
910,row 910,2730
911,row 911,2733
912,row 912,2736
913,row 913,2739
914,row 914,2742
915,row 915,2745
916,row 916,2748
917,row 917,2751
918,row 918,2754
919,row 919,2757
920,row 920,2760
921,row 921,2763
922,row 922,2766
923,row 923,2769
924,row 924,2772
925,row 925,2775
926,row 926,2778
927,row 927,2781
928,row 928,2784
929,row 929,2787
930,row 930,2790
931,row 931,2793
932,row 932,2796
933,row 933,2799
934,row 934,2802
935,row 935,2805
936,row 936,2808
937,row 937,2811
938,row 938,2814
939,row 939,2817
940,row 940,2820
941,row 941,2823
942,row 942,2826
943,row 943,2829
944,row 944,2832
945,row 945,2835
946,row 946,2838
947,row 947,2841
948,row 948,2844
949,row 949,2847
950,row 950,2850
951,row 951,2853
952,row 952,2856
953,row 953,2859
954,row 954,2862
955,row 955,2865
956,row 956,2868
957,row 957,2871
958,row 958,2874
959,row 959,2877
960,row 960,2880
961,row 961,2883
962,row 962,2886
963,row 963,2889
964,row 964,2892
965,row 965,2895
966,row 966,2898
967,row 967,2901
968,row 968,2904
969,row 969,2907
970,row 970,2910
971,row 971,2913
972,row 972,2916
973,row 973,2919
974,row 974,2922
975,row 975,2925
976,row 976,2928
977,row 977,2931
978,row 978,2934
979,row 979,2937
980,row 980,2940
981,row 981,2943
982,row 982,2946
983,row 983,2949
984,row 984,2952
985,row 985,2955
986,row 986,2958
987,row 987,2961
988,row 988,2964
989,row 989,2967
990,row 990,2970
991,row 991,2973
992,row 992,2976
993,row 993,2979
994,row 994,2982
995,row 995,2985
996,row 996,2988
997,row 997,2991
998,row 998,2994
999,row 999,2997
1000,row 1000,3000
1001,row 1001,3003
1002,row 1002,3006
1003,row 1003,3009
1004,row 1004,3012
1005,row 1005,3015
1006,row 1006,3018
1007,row 1007,3021
1008,row 1008,3024
1009,row 1009,3027
1010,row 1010,3030
1011,row 1011,3033
1012,row 1012,3036
1013,row 1013,3039
1014,row 1014,3042
1015,row 1015,3045
1016,row 1016,3048
1017,row 1017,3051
1018,row 1018,3054
1019,row 1019,3057
1020,row 1020,3060
1021,row 1021,3063
1022,row 1022,3066
1023,row 1023,3069
1024,row 1024,3072
1025,row 1025,3075
1026,row 1026,3078
1027,row 1027,3081
1028,row 1028,3084
1029,row 1029,3087
1030,row 1030,3090
1031,row 1031,3093
1032,row 1032,3096
1033,row 1033,3099
1034,row 1034,3102
1035,row 1035,3105
1036,row 1036,3108
1037,row 1037,3111
1038,row 1038,3114
1039,row 1039,3117
1040,row 1040,3120
1041,row 1041,3123
1042,row 1042,3126
1043,row 1043,3129
1044,row 1044,3132
1045,row 1045,3135
1046,row 1046,3138
1047,row 1047,3141
1048,row 1048,3144
1049,row 1049,3147
1050,row 1050,3150
1051,row 1051,3153
1052,row 1052,3156
1053,row 1053,3159
1054,row 1054,3162
1055,row 1055,3165
1056,row 1056,3168
